text,label
"NASA successfully launched a new satellite to improve climate forecasting.",1
"Apple announces new AI features for upcoming devices.",1
"Scientists discover new treatment for heart disease.",1
"Researchers develop improved battery technology for electric vehicles.",1
"WHO announces new vaccination initiative to improve healthcare access.",1
"Google introduces upgraded AI assistant for productivity.",1
"Scientists publish climate change findings in peer-reviewed study.",1
"Government approves funding for new hospitals in rural areas.",1
"Researchers discover promising cancer treatment in clinical trials.",1
"Space agency launches new telescope to study distant galaxies.",1
"Microsoft unveils new cybersecurity improvements for Windows.",1
"Scientists discover water traces on a distant exoplanet.",1
"New renewable energy policy approved to reduce emissions.",1
"Medical researchers report breakthrough in diabetes treatment.",1
"Scientists develop biodegradable plastic alternative.",1
"University researchers improve earthquake prediction systems.",1
"New semiconductor chip improves AI performance.",1
"Engineers create more efficient solar panels.",1
"NASA begins testing next-generation moon mission systems.",1
"Healthcare ministry launches nationwide disease prevention campaign.",1
